Pathway,Overlap Size,Pathway Size,Enrichment Ratio,P-value,FDR,Study,Time Point,Contrast,Regulation,Ionization Mode
Mono-unsaturated fatty acid beta-oxidation,0,2,0,0.45844886984287,0.45844886984287,ELICIT,5 mo.,Nico,Upregulated,Positive
Glycosphingolipid biosynthesis - neolactoseries,0,2,0,0.45844886984287,0.45844886984287,ELICIT,5 mo.,Nico,Upregulated,Positive
Geraniol degradation,0,0,,0.45844886984287,0.45844886984287,ELICIT,5 mo.,Nico,Upregulated,Positive
Vitamin D,0,0,,0.45844886984287,0.45844886984287,ELICIT,5 mo.,Nico,Upregulated,Positive
Heparan sulfate degradation,0,2,0,0.45844886984287,0.45844886984287,ELICIT,5 mo.,Nico,Upregulated,Positive
Polyunsaturated fatty acid biosynthesis,0,0,,0.45844886984287,0.45844886984287,ELICIT,5 mo.,Nico,Upregulated,Positive
Glutathione Metabolism,0,4,0,0.45844886984287,0.45844886984287,ELICIT,5 mo.,Nico,Upregulated,Positive
Keratan sulfate biosynthesis,0,2,0,0.45844886984287,0.45844886984287,ELICIT,5 mo.,Nico,Upregulated,Positive
3-Chloroacrylic acid degradation,0,0,,0.45844886984287,0.45844886984287,ELICIT,5 mo.,Nico,Upregulated,Positive
Arachidonic acid metabolism,0,8,0,0.45844886984287,0.45844886984287,ELICIT,5 mo.,Nico,Upregulated,Positive
Sphingolipid metabolism,0,0,,0.45844886984287,0.45844886984287,ELICIT,5 mo.,Nico,Upregulated,Positive
O-Glycan biosynthesis,0,2,0,0.45844886984287,0.45844886984287,ELICIT,5 mo.,Nico,Upregulated,Positive
Glycosphingolipid metabolism,0,7,0,0.45844886984287,0.45844886984287,ELICIT,5 mo.,Nico,Upregulated,Positive
Limonene and pinene degradation,0,0,,0.45844886984287,0.45844886984287,ELICIT,5 mo.,Nico,Upregulated,Positive
Proteoglycan biosynthesis,0,2,0,0.45844886984287,0.45844886984287,ELICIT,5 mo.,Nico,Upregulated,Positive
Vitamin K metabolism,0,0,,0.45844886984287,0.45844886984287,ELICIT,5 mo.,Nico,Upregulated,Positive
Benzoate degradation via CoA ligation,0,0,,0.45844886984287,0.45844886984287,ELICIT,5 mo.,Nico,Upregulated,Positive
Dimethyl-branched-chain fatty acid mitochondrial beta-oxidation,0,2,0,0.45844886984287,0.45844886984287,ELICIT,5 mo.,Nico,Upregulated,Positive
Vitamin B6 (pyridoxine) metabolism,0,0,,0.45844886984287,0.45844886984287,ELICIT,5 mo.,Nico,Upregulated,Positive
Pentose and Glucuronate Interconversions,0,2,0,0.45844886984287,0.45844886984287,ELICIT,5 mo.,Nico,Upregulated,Positive
Atrazine degradation,0,0,,0.45844886984287,0.45844886984287,ELICIT,5 mo.,Nico,Upregulated,Positive
N-Glycan Degradation,0,7,0,0.45844886984287,0.45844886984287,ELICIT,5 mo.,Nico,Upregulated,Positive
Leukotriene metabolism,0,10,0,0.45844886984287,0.45844886984287,ELICIT,5 mo.,Nico,Upregulated,Positive
Vitamin B12 (cyanocobalamin) metabolism,0,1,0,0.45844886984287,0.45844886984287,ELICIT,5 mo.,Nico,Upregulated,Positive
Fatty acid activation,0,9,0,0.45844886984287,0.45844886984287,ELICIT,5 mo.,Nico,Upregulated,Positive
Carbon fixation,0,3,0,0.45844886984287,0.45844886984287,ELICIT,5 mo.,Nico,Upregulated,Positive
Nucleotide Sugar Metabolism,0,2,0,0.45844886984287,0.45844886984287,ELICIT,5 mo.,Nico,Upregulated,Positive
1- and 2-Methylnaphthalene degradation,0,0,,0.45844886984287,0.45844886984287,ELICIT,5 mo.,Nico,Upregulated,Positive
Nitrogen metabolism,0,4,0,0.45844886984287,0.45844886984287,ELICIT,5 mo.,Nico,Upregulated,Positive
Aminosugars metabolism,0,19,0,0.45844886984287,0.45844886984287,ELICIT,5 mo.,Nico,Upregulated,Positive
Prostaglandin formation from dihomo gama-linoleic acid,0,2,0,0.45844886984287,0.45844886984287,ELICIT,5 mo.,Nico,Upregulated,Positive
Trihydroxycoprostanoyl-CoA beta-oxidation,0,1,0,0.45844886984287,0.45844886984287,ELICIT,5 mo.,Nico,Upregulated,Positive
Omega-6 fatty acid metabolism,0,3,0,0.45844886984287,0.45844886984287,ELICIT,5 mo.,Nico,Upregulated,Positive
Pentose phosphate pathway,0,9,0,0.45844886984287,0.45844886984287,ELICIT,5 mo.,Nico,Upregulated,Positive
Selenoamino acid metabolism,0,5,0,0.45844886984287,0.45844886984287,ELICIT,5 mo.,Nico,Upregulated,Positive
Methionine and cysteine metabolism,10,67,0.149,0.45844886984287,0.7322073775313,ELICIT,5 mo.,Nico+Az.,Upregulated,Negative
Alanine and Aspartate Metabolism,1,11,-0.091,0.458784976052433,0.489958826989329,Mumta-LW,2 mo.,BEP+ExBf,Downregulated,Positive
Glutamate metabolism,1,11,-0.091,0.458784976052433,0.489958826989329,Mumta-LW,2 mo.,BEP+ExBf,Downregulated,Positive
Glycolysis and Gluconeogenesis,2,13,0.154,0.458953029157214,0.631039408453071,MISAME,3-4 mo.,BEP/BEP,Upregulated,Positive
Pentose phosphate pathway,2,13,0.154,0.458953029157214,0.631039408453071,MISAME,3-4 mo.,BEP/BEP,Upregulated,Positive
Vitamin B3 (nicotinate and nicotinamide) metabolism,1,9,-0.111,0.459037055709604,0.48113603898832,ELICIT,1 mo.,Nico+Az.,Downregulated,Positive
Saturated fatty acids beta-oxidation,1,7,-0.143,0.459289135366776,0.61423409797496,MISAME,14-21 days,BEP/IFA,Downregulated,Positive
Beta-Alanine metabolism,1,10,-0.1,0.459373161919166,0.543819847071675,MISAME,3-4 mo.,BEP/IFA,Downregulated,Positive
Phosphatidylinositol phosphate metabolism,2,24,0.083,0.459625241576338,0.488530375598689,MISAME,1-2 mo.,BEP/BEP,Upregulated,Positive
Fatty acid activation,2,14,0.143,0.459793294681119,0.590958742962776,MISAME,14-21 days,BEP/IFA,Upregulated,Positive
Drug metabolism - cytochrome P450,5,25,-0.2,0.460129400890681,0.840181497353164,MISAME,1-2 mo.,IFA/BEP,Downregulated,Negative
Histidine metabolism,1,10,0.1,0.460213427443072,0.496933030837745,MISAME,14-21 days,IFA/BEP,Upregulated,Positive
Vitamin E metabolism,1,10,0.1,0.460213427443072,0.496933030837745,MISAME,14-21 days,IFA/BEP,Upregulated,Positive
Glycerophospholipid metabolism,1,29,0.034,0.460213427443072,0.460381480547853,ELICIT,5 mo.,Az.,Upregulated,Positive
TCA cycle,1,9,0.111,0.460297453995463,0.498361482228384,MISAME,3-4 mo.,IFA/BEP,Upregulated,Positive
Glutamate metabolism,1,9,0.111,0.460297453995463,0.498361482228384,MISAME,3-4 mo.,IFA/BEP,Upregulated,Positive
Ubiquinone Biosynthesis,1,9,0.111,0.460297453995463,0.498361482228384,MISAME,3-4 mo.,IFA/BEP,Upregulated,Positive
Vitamin D3 (cholecalciferol) metabolism,0,1,0,0.460381480547853,0.460381480547853,ELICIT,5 mo.,Az.,Upregulated,Positive
R Group Synthesis,0,1,0,0.460381480547853,0.460381480547853,ELICIT,5 mo.,Az.,Upregulated,Positive
C5-Branched dibasic acid metabolism,0,0,,0.460381480547853,0.460381480547853,ELICIT,5 mo.,Az.,Upregulated,Positive
Chondroitin sulfate degradation,0,0,,0.460381480547853,0.460381480547853,ELICIT,5 mo.,Az.,Upregulated,Positive
Di-unsaturated fatty acid beta-oxidation,0,3,0,0.460381480547853,0.460381480547853,ELICIT,5 mo.,Az.,Upregulated,Positive
Putative anti-Inflammatory metabolites formation from EPA,0,4,0,0.460381480547853,0.460381480547853,ELICIT,5 mo.,Az.,Upregulated,Positive
Vitamin B2 (riboflavin) metabolism,0,3,0,0.460381480547853,0.460381480547853,ELICIT,5 mo.,Az.,Upregulated,Positive
Squalene and cholesterol biosynthesis,0,5,0,0.460381480547853,0.460381480547853,ELICIT,5 mo.,Az.,Upregulated,Positive
Glycerolipid metabolism,0,0,,0.460381480547853,0.460381480547853,ELICIT,5 mo.,Az.,Upregulated,Positive
3-oxo-10R-octadecatrienoate beta-oxidation,0,0,,0.460381480547853,0.460381480547853,ELICIT,5 mo.,Az.,Upregulated,Positive
Alkaloid biosynthesis II,0,2,0,0.460381480547853,0.460381480547853,ELICIT,5 mo.,Az.,Upregulated,Positive
Vitamin B1 (thiamin) metabolism,0,7,0,0.460381480547853,0.460381480547853,ELICIT,5 mo.,Az.,Upregulated,Positive
Parathio degradation,0,0,,0.460381480547853,0.460381480547853,ELICIT,5 mo.,Az.,Upregulated,Positive
Electron transport chain,0,0,,0.460381480547853,0.460381480547853,ELICIT,5 mo.,Az.,Upregulated,Positive
Vitamin H (biotin) metabolism,0,1,0,0.460381480547853,0.460381480547853,ELICIT,5 mo.,Az.,Upregulated,Positive
Biopterin metabolism,0,2,0,0.460381480547853,0.460381480547853,ELICIT,5 mo.,Az.,Upregulated,Positive
Caffeine metabolism,0,0,,0.460381480547853,0.460381480547853,ELICIT,5 mo.,Az.,Upregulated,Positive
Lipoate metabolism,0,0,,0.460381480547853,0.460381480547853,ELICIT,5 mo.,Az.,Upregulated,Positive
Heparan sulfate biosynthesis,0,0,,0.460381480547853,0.460381480547853,ELICIT,5 mo.,Az.,Upregulated,Positive
Drug metabolism - cytochrome P450,0,5,0,0.460381480547853,0.460381480547853,ELICIT,5 mo.,Az.,Upregulated,Positive
Vitamin B9 (folate) metabolism,0,6,0,0.460381480547853,0.460381480547853,ELICIT,5 mo.,Az.,Upregulated,Positive
Tryptophan metabolism,0,12,0,0.460381480547853,0.460381480547853,ELICIT,5 mo.,Az.,Upregulated,Positive
Glyoxylate and Dicarboxylate Metabolism,0,2,0,0.460381480547853,0.460381480547853,ELICIT,5 mo.,Az.,Upregulated,Positive
De novo fatty acid biosynthesis,0,14,0,0.460381480547853,0.460381480547853,ELICIT,5 mo.,Az.,Upregulated,Positive
Glycosaminoglycan degradation,0,0,,0.460381480547853,0.460381480547853,ELICIT,5 mo.,Az.,Upregulated,Positive
Fatty acid oxidation,0,3,0,0.460381480547853,0.460381480547853,ELICIT,5 mo.,Az.,Upregulated,Positive
Fructose and mannose metabolism,0,6,0,0.460381480547853,0.460381480547853,ELICIT,5 mo.,Az.,Upregulated,Positive
ROS Detoxification,0,0,,0.460381480547853,0.460381480547853,ELICIT,5 mo.,Az.,Upregulated,Positive
CoA Catabolism,0,2,0,0.460381480547853,0.460381480547853,ELICIT,5 mo.,Az.,Upregulated,Positive
Omega-3 fatty acid metabolism,0,6,0,0.460381480547853,0.460381480547853,ELICIT,5 mo.,Az.,Upregulated,Positive
Mono-unsaturated fatty acid beta-oxidation,0,2,0,0.460381480547853,0.460381480547853,ELICIT,5 mo.,Az.,Upregulated,Positive
Vitamin B3 (nicotinate and nicotinamide) metabolism,0,6,0,0.460381480547853,0.460381480547853,ELICIT,5 mo.,Az.,Upregulated,Positive
Geraniol degradation,0,0,,0.460381480547853,0.460381480547853,ELICIT,5 mo.,Az.,Upregulated,Positive
Vitamin D,0,0,,0.460381480547853,0.460381480547853,ELICIT,5 mo.,Az.,Upregulated,Positive
Heparan sulfate degradation,0,1,0,0.460381480547853,0.460381480547853,ELICIT,5 mo.,Az.,Upregulated,Positive
"Fatty acid oxidation, peroxisome",0,5,0,0.460381480547853,0.460381480547853,ELICIT,5 mo.,Az.,Upregulated,Positive
Polyunsaturated fatty acid biosynthesis,0,0,,0.460381480547853,0.460381480547853,ELICIT,5 mo.,Az.,Upregulated,Positive
Glutathione Metabolism,0,1,0,0.460381480547853,0.460381480547853,ELICIT,5 mo.,Az.,Upregulated,Positive
3-Chloroacrylic acid degradation,0,0,,0.460381480547853,0.460381480547853,ELICIT,5 mo.,Az.,Upregulated,Positive
Sphingolipid metabolism,0,0,,0.460381480547853,0.460381480547853,ELICIT,5 mo.,Az.,Upregulated,Positive
Limonene and pinene degradation,0,0,,0.460381480547853,0.460381480547853,ELICIT,5 mo.,Az.,Upregulated,Positive
Vitamin K metabolism,0,0,,0.460381480547853,0.460381480547853,ELICIT,5 mo.,Az.,Upregulated,Positive
Benzoate degradation via CoA ligation,0,0,,0.460381480547853,0.460381480547853,ELICIT,5 mo.,Az.,Upregulated,Positive
Dimethyl-branched-chain fatty acid mitochondrial beta-oxidation,0,2,0,0.460381480547853,0.460381480547853,ELICIT,5 mo.,Az.,Upregulated,Positive
Atrazine degradation,0,0,,0.460381480547853,0.460381480547853,ELICIT,5 mo.,Az.,Upregulated,Positive
Vitamin B12 (cyanocobalamin) metabolism,0,2,0,0.460381480547853,0.460381480547853,ELICIT,5 mo.,Az.,Upregulated,Positive
Fatty acid activation,0,14,0,0.460381480547853,0.460381480547853,ELICIT,5 mo.,Az.,Upregulated,Positive
Nucleotide Sugar Metabolism,0,2,0,0.460381480547853,0.460381480547853,ELICIT,5 mo.,Az.,Upregulated,Positive
1- and 2-Methylnaphthalene degradation,0,0,,0.460381480547853,0.460381480547853,ELICIT,5 mo.,Az.,Upregulated,Positive
Nitrogen metabolism,0,2,0,0.460381480547853,0.460381480547853,ELICIT,5 mo.,Az.,Upregulated,Positive
Drug metabolism - other enzymes,0,5,0,0.460381480547853,0.460381480547853,ELICIT,5 mo.,Az.,Upregulated,Positive
Trihydroxycoprostanoyl-CoA beta-oxidation,0,0,,0.460381480547853,0.460381480547853,ELICIT,5 mo.,Az.,Upregulated,Positive
Omega-6 fatty acid metabolism,0,3,0,0.460381480547853,0.460381480547853,ELICIT,5 mo.,Az.,Upregulated,Positive
Phytanic acid peroxisomal oxidation,0,6,0,0.460381480547853,0.460381480547853,ELICIT,5 mo.,Az.,Upregulated,Positive
Selenoamino acid metabolism,0,4,0,0.460381480547853,0.460381480547853,ELICIT,5 mo.,Az.,Upregulated,Positive
Glycosphingolipid biosynthesis - globoseries,6,31,0.194,0.460969666414587,0.7927064952525,MISAME,3-4 mo.,IFA/BEP,Upregulated,Negative
C21-steroid hormone biosynthesis and metabolism,6,31,0.194,0.460969666414587,0.7927064952525,MISAME,3-4 mo.,IFA/BEP,Upregulated,Negative
Heparan sulfate degradation,1,4,0.25,0.460969666414587,0.749012688009411,Mumta-LW,2 mo.,BEP+ExBf+AZT,Upregulated,Negative
"Fatty acid oxidation, peroxisome",4,20,-0.2,0.461053692966978,0.822115788589194,MISAME,3-4 mo.,IFA/BEP,Downregulated,Negative
Histidine metabolism,3,21,-0.143,0.461641878833711,0.71867910259642,Mumta-LW,1.5 mo.,BEP+ExBf,Downregulated,Negative
N-Glycan Degradation,3,13,-0.231,0.461809931938493,0.811276363330813,MISAME,3-4 mo.,BEP/BEP,Downregulated,Negative
Vitamin E metabolism,2,10,0.2,0.461893958490883,0.738173262751029,ELICIT,5 mo.,Nico,Upregulated,Negative
N-Glycan biosynthesis,1,8,-0.125,0.462062011595664,0.62330896563314,ELICIT,5 mo.,Az.,Downregulated,Positive
Glutathione Metabolism,1,8,-0.125,0.462062011595664,0.62330896563314,ELICIT,5 mo.,Az.,Downregulated,Positive
Putative anti-Inflammatory metabolites formation from EPA,3,13,-0.231,0.462062011595664,0.830434417275859,Mumta-LW,1.5 mo.,BEP+ExBf+AZT,Downregulated,Negative
Omega-3 fatty acid metabolism,3,13,-0.231,0.462062011595664,0.830434417275859,Mumta-LW,1.5 mo.,BEP+ExBf+AZT,Downregulated,Negative
"Fatty acid oxidation, peroxisome",3,13,-0.231,0.462062011595664,0.830434417275859,Mumta-LW,1.5 mo.,BEP+ExBf+AZT,Downregulated,Negative
Hyaluronan Metabolism,1,6,0.167,0.462230064700445,0.7322073775313,ELICIT,5 mo.,Nico+Az.,Upregulated,Negative
CoA Catabolism,1,6,0.167,0.462230064700445,0.7322073775313,ELICIT,5 mo.,Nico+Az.,Upregulated,Negative
Pentose phosphate pathway,11,56,-0.196,0.462314091252836,0.822115788589194,MISAME,3-4 mo.,IFA/BEP,Downregulated,Negative
Bile acid biosynthesis,7,36,0.194,0.46290227711957,0.790338990364198,MISAME,3-4 mo.,BEP/IFA,Upregulated,Negative
Vitamin B3 (nicotinate and nicotinamide) metabolism,6,30,-0.2,0.46290227711957,0.739433661036888,ELICIT,5 mo.,Nico+Az.,Downregulated,Negative
Drug metabolism - cytochrome P450,1,8,-0.125,0.463322409881523,0.598605159230317,MISAME,14-21 days,BEP/BEP,Downregulated,Positive
Vitamin B3 (nicotinate and nicotinamide) metabolism,1,8,-0.125,0.463322409881523,0.598605159230317,MISAME,14-21 days,BEP/BEP,Downregulated,Positive
Arachidonic acid metabolism,8,40,-0.2,0.463406436433913,0.739433661036888,ELICIT,5 mo.,Nico+Az.,Downregulated,Negative
Aspartate and asparagine metabolism,5,39,0.128,0.463490462986304,0.498361482228384,MISAME,3-4 mo.,IFA/BEP,Upregulated,Positive
Purine metabolism,3,25,-0.12,0.463574489538694,0.598605159230317,MISAME,14-21 days,BEP/BEP,Downregulated,Positive
Keratan sulfate degradation,1,9,0.111,0.463994622300647,0.520796571716662,MISAME,14-21 days,BEP/BEP,Upregulated,Positive
Saturated fatty acids beta-oxidation,1,7,-0.143,0.464078648853038,0.545500378119486,MISAME,3-4 mo.,IFA/BEP,Downregulated,Positive
Pentose phosphate pathway,1,7,-0.143,0.464078648853038,0.545500378119486,MISAME,3-4 mo.,IFA/BEP,Downregulated,Positive
N-Glycan biosynthesis,1,9,-0.111,0.464078648853038,0.545668431224267,ELICIT,1 mo.,Nico,Downregulated,Positive
Keratan sulfate degradation,1,9,-0.111,0.464078648853038,0.545668431224267,ELICIT,1 mo.,Nico,Downregulated,Positive
Propanoate metabolism,1,9,-0.111,0.464078648853038,0.545668431224267,ELICIT,1 mo.,Nico,Downregulated,Positive
N-Glycan Degradation,1,9,-0.111,0.464078648853038,0.545668431224267,ELICIT,1 mo.,Nico,Downregulated,Positive
Carnitine shuttle,1,14,0.071,0.46449878161499,0.488530375598689,MISAME,1-2 mo.,BEP/BEP,Upregulated,Positive
Starch and Sucrose Metabolism,1,14,0.071,0.46449878161499,0.488530375598689,MISAME,1-2 mo.,BEP/BEP,Upregulated,Positive
Lysine metabolism,1,14,0.071,0.46449878161499,0.488530375598689,MISAME,1-2 mo.,BEP/BEP,Upregulated,Positive
Di-unsaturated fatty acid beta-oxidation,2,13,0.154,0.46449878161499,0.76102848500126,MISAME,1-2 mo.,BEP/BEP,Upregulated,Negative
Vitamin B1 (thiamin) metabolism,1,8,0.125,0.46449878161499,0.53256028905134,ELICIT,1 mo.,Az.,Upregulated,Positive
Alanine and Aspartate Metabolism,1,8,0.125,0.46449878161499,0.53256028905134,ELICIT,1 mo.,Az.,Upregulated,Positive
Porphyrin metabolism,1,8,0.125,0.46449878161499,0.53256028905134,ELICIT,1 mo.,Az.,Upregulated,Positive
Prostaglandin formation from dihomo gama-linoleic acid,1,4,-0.25,0.464834887824553,0.808503487101924,MISAME,14-21 days,BEP/IFA,Downregulated,Negative
Hyaluronan Metabolism,1,7,-0.143,0.464834887824553,0.735820519284094,Mumta-LW,2 mo.,BEP+ExBf,Downregulated,Negative
Saturated fatty acids beta-oxidation,1,7,-0.143,0.464834887824553,0.735820519284094,Mumta-LW,2 mo.,BEP+ExBf,Downregulated,Negative
Glycosphingolipid biosynthesis - ganglioseries,3,15,-0.2,0.464918914376943,0.808503487101924,MISAME,14-21 days,BEP/IFA,Downregulated,Negative
Carnitine shuttle,1,15,0.067,0.465086967481724,0.535837324594572,ELICIT,5 mo.,Nico+Az.,Upregulated,Positive
Glycerophospholipid metabolism,25,95,0.263,0.465086967481724,0.809091672968658,Mumta-LW,2 mo.,BEP+ExBf,Upregulated,Negative
Methionine and cysteine metabolism,15,78,0.192,0.465591126796068,0.7927064952525,MISAME,3-4 mo.,IFA/BEP,Upregulated,Negative
Vitamin A (retinol) metabolism,3,19,-0.158,0.465759179900849,0.772708175783548,MISAME,14-21 days,BEP/BEP,Downregulated,Negative
Glycolysis and Gluconeogenesis,1,10,-0.1,0.465759179900849,0.48113603898832,ELICIT,1 mo.,Nico+Az.,Downregulated,Positive
De novo fatty acid biosynthesis,1,10,-0.1,0.465759179900849,0.48113603898832,ELICIT,1 mo.,Nico+Az.,Downregulated,Positive
N-Glycan Degradation,1,10,-0.1,0.465759179900849,0.48113603898832,ELICIT,1 mo.,Nico+Az.,Downregulated,Positive
Histidine metabolism,6,36,0.167,0.466263339215192,0.787496849004285,MISAME,14-21 days,IFA/BEP,Upregulated,Negative
Beta-Alanine metabolism,9,47,0.191,0.466263339215192,0.7927064952525,MISAME,3-4 mo.,IFA/BEP,Upregulated,Negative
Glycerophospholipid metabolism,19,115,0.165,0.466935551634316,0.738761448617763,MISAME,1-2 mo.,IFA/BEP,Upregulated,Negative
Di-unsaturated fatty acid beta-oxidation,2,10,0.2,0.467019578186707,0.762204856734728,ELICIT,1 mo.,Nico+Az.,Upregulated,Negative
Alkaloid biosynthesis II,2,10,0.2,0.467019578186707,0.762204856734728,ELICIT,1 mo.,Nico+Az.,Upregulated,Negative
Vitamin A (retinol) metabolism,2,10,0.2,0.467019578186707,0.762204856734728,ELICIT,1 mo.,Nico+Az.,Upregulated,Negative
Vitamin B2 (riboflavin) metabolism,2,12,0.167,0.467103604739098,0.738761448617763,MISAME,1-2 mo.,IFA/BEP,Upregulated,Negative
Saturated fatty acids beta-oxidation,3,13,-0.231,0.46743971094866,0.821947735484413,MISAME,14-21 days,IFA/BEP,Downregulated,Negative
Pentose phosphate pathway,8,53,-0.151,0.46752373750105,0.772708175783548,MISAME,14-21 days,BEP/BEP,Downregulated,Negative
Alanine and Aspartate Metabolism,1,9,-0.111,0.467691790605831,0.530375598689186,MISAME,3-4 mo.,BEP/BEP,Downregulated,Positive
TCA cycle,1,9,-0.111,0.467691790605831,0.530375598689186,MISAME,3-4 mo.,BEP/BEP,Downregulated,Positive
Tyrosine metabolism,5,49,0.102,0.467943870263003,0.560120998235442,MISAME,3-4 mo.,BEP/IFA,Upregulated,Positive
Carnitine shuttle,1,10,0.1,0.468448029577346,0.560120998235442,MISAME,3-4 mo.,BEP/IFA,Upregulated,Positive
Histidine metabolism,1,15,0.067,0.468532056129737,0.488530375598689,MISAME,1-2 mo.,BEP/BEP,Upregulated,Positive
Fatty acid activation,2,16,-0.125,0.468700109234518,0.613477859003445,ELICIT,5 mo.,Nico,Downregulated,Positive
Arachidonic acid metabolism,3,20,0.15,0.468784135786909,0.631039408453071,MISAME,3-4 mo.,BEP/BEP,Upregulated,Positive
Polyunsaturated fatty acid biosynthesis,3,15,-0.2,0.468784135786909,0.822115788589194,MISAME,3-4 mo.,IFA/BEP,Downregulated,Negative
Phosphatidylinositol phosphate metabolism,2,20,-0.1,0.468868162339299,0.543819847071675,MISAME,3-4 mo.,BEP/IFA,Downregulated,Positive
Urea cycle/amino group metabolism,7,46,-0.152,0.468868162339299,0.74439122762793,ELICIT,5 mo.,Az.,Downregulated,Negative
D4&E4-neuroprostanes formation,2,13,-0.154,0.468868162339299,0.74439122762793,ELICIT,5 mo.,Az.,Downregulated,Negative
Di-unsaturated fatty acid beta-oxidation,1,8,-0.125,0.468868162339299,0.613477859003445,ELICIT,5 mo.,Nico,Downregulated,Positive
Galactose metabolism,1,8,-0.125,0.468868162339299,0.613477859003445,ELICIT,5 mo.,Nico,Downregulated,Positive
Alanine and Aspartate Metabolism,1,8,-0.125,0.468868162339299,0.613477859003445,ELICIT,5 mo.,Nico,Downregulated,Positive
Arachidonic acid metabolism,2,18,0.111,0.46895218889169,0.498361482228384,MISAME,3-4 mo.,IFA/BEP,Upregulated,Positive
Arachidonic acid metabolism,8,43,-0.186,0.46895218889169,0.746743971094866,ELICIT,1 mo.,Nico+Az.,Downregulated,Negative
Tryptophan metabolism,2,21,-0.095,0.469288295101252,0.489958826989329,Mumta-LW,2 mo.,BEP+ExBf,Downregulated,Positive
Glycerophospholipid metabolism,2,21,-0.095,0.469288295101252,0.489958826989329,Mumta-LW,2 mo.,BEP+ExBf,Downregulated,Positive
C21-steroid hormone biosynthesis and metabolism,6,31,0.194,0.469372321653643,0.790338990364198,MISAME,3-4 mo.,BEP/IFA,Upregulated,Negative
"Glycine, serine, alanine and threonine metabolism",4,31,-0.129,0.469372321653643,0.62330896563314,ELICIT,5 mo.,Az.,Downregulated,Positive
Saturated fatty acids beta-oxidation,1,11,-0.091,0.469456348206033,0.48113603898832,ELICIT,1 mo.,Nico+Az.,Downregulated,Positive
Prostaglandin formation from arachidonate,1,11,-0.091,0.469456348206033,0.48113603898832,ELICIT,1 mo.,Nico+Az.,Downregulated,Positive
Hyaluronan Metabolism,2,10,0.2,0.469624401310814,0.7927064952525,MISAME,3-4 mo.,IFA/BEP,Upregulated,Negative
Squalene and cholesterol biosynthesis,4,26,-0.154,0.469708427863205,0.772708175783548,MISAME,14-21 days,BEP/BEP,Downregulated,Negative
Putative anti-Inflammatory metabolites formation from EPA,4,17,-0.235,0.470128560625158,0.827241408285018,MISAME,3-4 mo.,BEP/IFA,Downregulated,Negative
Vitamin B3 (nicotinate and nicotinamide) metabolism,2,18,0.111,0.470212587177548,0.520796571716662,MISAME,14-21 days,BEP/BEP,Upregulated,Positive
Glycolysis and Gluconeogenesis,1,10,0.1,0.470632719939501,0.498361482228384,MISAME,3-4 mo.,IFA/BEP,Upregulated,Positive
Vitamin B1 (thiamin) metabolism,1,10,0.1,0.470632719939501,0.498361482228384,MISAME,3-4 mo.,IFA/BEP,Upregulated,Positive
Pyrimidine metabolism,2,20,0.1,0.470800773044282,0.496933030837745,MISAME,14-21 days,IFA/BEP,Upregulated,Positive
Omega-6 fatty acid metabolism,2,14,-0.143,0.471136879253844,0.71867910259642,Mumta-LW,1.5 mo.,BEP+ExBf,Downregulated,Negative
Phytanic acid peroxisomal oxidation,2,14,-0.143,0.471136879253844,0.71867910259642,Mumta-LW,1.5 mo.,BEP+ExBf,Downregulated,Negative
Squalene and cholesterol biosynthesis,5,25,0.2,0.471304932358625,0.749012688009411,Mumta-LW,2 mo.,BEP+ExBf+AZT,Upregulated,Negative
Butanoate metabolism,11,72,-0.153,0.471641038568188,0.75649105117217,Mumta-LW,1.5 mo.,BEP,Downregulated,Negative
Glycosphingolipid biosynthesis - ganglioseries,5,21,0.238,0.471725065120578,0.780942777917822,Mumta-LW,1.5 mo.,BEP+ExBf,Upregulated,Negative
Pyrimidine metabolism,2,20,-0.1,0.47197714477775,0.48113603898832,ELICIT,1 mo.,Nico+Az.,Downregulated,Positive
Hexose phosphorylation,1,16,0.062,0.472229224434921,0.488530375598689,MISAME,1-2 mo.,BEP/BEP,Upregulated,Positive
Arachidonic acid metabolism,1,16,0.062,0.472229224434921,0.488530375598689,MISAME,1-2 mo.,BEP/BEP,Upregulated,Positive
Glycosphingolipid metabolism,1,16,0.062,0.472229224434921,0.488530375598689,MISAME,1-2 mo.,BEP/BEP,Upregulated,Positive
Arachidonic acid metabolism,1,13,-0.077,0.472313250987312,0.489958826989329,Mumta-LW,2 mo.,BEP+ExBf,Downregulated,Positive
Aminosugars metabolism,3,26,0.115,0.472397277539703,0.498361482228384,MISAME,3-4 mo.,IFA/BEP,Upregulated,Positive
C21-steroid hormone biosynthesis and metabolism,2,16,0.125,0.472397277539703,0.53256028905134,ELICIT,1 mo.,Az.,Upregulated,Positive
Butanoate metabolism,11,69,0.159,0.472397277539703,0.771783883707252,ELICIT,1 mo.,Az.,Upregulated,Negative
N-Glycan biosynthesis,6,40,0.15,0.472481304092093,0.76102848500126,MISAME,1-2 mo.,BEP/BEP,Upregulated,Negative
Sialic acid metabolism,2,17,-0.118,0.472481304092093,0.530375598689186,MISAME,3-4 mo.,BEP/BEP,Downregulated,Positive
Bile acid biosynthesis,1,12,-0.083,0.472733383749265,0.48113603898832,ELICIT,1 mo.,Nico+Az.,Downregulated,Positive
Arachidonic acid metabolism,1,12,-0.083,0.472733383749265,0.48113603898832,ELICIT,1 mo.,Nico+Az.,Downregulated,Positive
